iter	Passed	Remaining
989	24762	25262
990	24783	25233
991	24805	25205
992	24831	25181
993	24853	25153
994	24876	25126
995	24903	25103
996	24926	25076
997	24947	25047
998	24977	25027
999	24998	24998
1000	25023	24973
1001	25048	24948
1002	25072	24922
1003	25104	24904
1004	25129	24879
1005	25150	24850
1006	25171	24821
1007	25193	24793
1008	25219	24769
1009	25241	24741
1010	25265	24716
1011	25288	24688
1012	25311	24661
1013	25342	24642
1014	25368	24618
1015	25395	24595
1016	25417	24567
1017	25444	24545
1018	25467	24517
1019	25491	24491
1020	25516	24466
1021	25541	24441
1022	25567	24418
1023	25597	24397
1024	25626	24376
1025	25657	24357
1026	25684	24334
1027	25707	24307
1028	25733	24283
1029	25756	24255
1030	25785	24234
1031	25816	24215
1032	25841	24190
1033	25866	24165
1034	25889	24138
1035	25910	24110
1036	25938	24087
1037	25965	24063
1038	25990	24039
1039	26012	24011
1040	26033	23982
1041	26060	23959
1042	26084	23933
1043	26110	23909
1044	26139	23888
1045	26164	23863
1046	26195	23843
1047	26217	23816
1048	26247	23795
1049	26281	23778
1050	26307	23754
1051	26334	23730
1052	26359	23705
1053	26385	23682
1054	26412	23658
1055	26434	23631
1056	26464	23609
1057	26489	23585
1058	26514	23559
1059	26545	23540
1060	26574	23519
1061	26602	23496
1062	26628	23471
1063	26655	23449
1064	26680	23423
1065	26701	23395
1066	26731	23374
1067	26763	23355
1068	26789	23330
1069	26813	23305
1070	26843	23284
1071	26869	23259
1072	26900	23239
1073	26926	23215
1074	26951	23190
1075	26980	23169
1076	27006	23145
1077	27034	23122
1078	27058	23096
1079	27081	23069
1080	27107	23044
1081	27130	23018
1082	27155	22993
1083	27183	22970
1084	27210	22946
1085	27237	22923
1086	27268	22903
1087	27294	22878
1088	27319	22854
1089	27348	22832
1090	27375	22808
1091	27399	22782
1092	27424	22757
1093	27451	22733
1094	27475	22708
1095	27501	22683
1096	27525	22658
1097	27552	22633
1098	27571	22604
1099	27597	22580
1100	27619	22551
1101	27642	22525
1102	27666	22499
1103	27691	22474
1104	27716	22449
1105	27741	22423
1106	27764	22397
1107	27788	22371
1108	27814	22347
1109	27840	22322
1110	27865	22297
1111	27890	22272
1112	27913	22245
1113	27935	22217
1114	27957	22190
1115	27984	22167
1116	28009	22141
1117	28031	22114
1118	28051	22085
1119	28076	22060
1120	28112	22043
1121	28138	22019
1122	28165	21996
1123	28195	21974
1124	28224	21952
1125	28251	21929
1126	28279	21905
1127	28299	21877
1128	28318	21846
1129	28342	21821
1130	28363	21792
1131	28386	21765
1132	28405	21736
1133	28427	21709
1134	28449	21681
1135	28470	21653
1136	28499	21631
1137	28525	21607
1138	28550	21581
1139	28577	21558
1140	28601	21532
1141	28625	21506
1142	28647	21479
1143	28668	21451
1144	28690	21424
1145	28716	21399
1146	28741	21374
1147	28761	21345
1148	28787	21321
1149	28814	21297
1150	28839	21272
1151	28864	21247
1152	28890	21223
1153	28913	21196
1154	28937	21170
1155	28969	21150
1156	28994	21125
1157	29020	21101
1158	29045	21076
1159	29066	21047
1160	29087	21020
1161	29112	20994
1162	29134	20968
